user,folder_name,remove_start_image,remove_end_image,비고,,,,
,2020-07-02-1,20200702120500_56.jpg,20200702122002_87.jpg,다른 선박 존재 & 레이더 없음,,,,
,2020-07-02-1,20200702125500_86.jpg,20200702132449_63.jpg,레이더 없음,,,,
,2020-07-02-1,20200702133500_59.jpg,20200702135459_72.jpg,레이더 없음,,,,
,2020-07-02-1,20200702140500_86.jpg,20200702143459_99.jpg,레이더 없음,,,,
,2020-07-02-1,20200702145003_59.jpg,20200702145419_24.jpg,빗방울,,,,
,2020-07-02-1,20200702151733_49.jpg,20200702152200_34.jpg,다른 선박 존재,,,,
,2020-07-03-0,20200703070004_13.jpg,20200703115959_62.jpg,레이더 없음 (폴더 내 전체 이미지),,,,
,2020-07-03-1,20200703120104_23.jpg,20200703165959_97.jpg,레이더 없음 (폴더 내 전체 이미지),,,,
,2020-07-04-0,20200704070004_13.jpg,20200704102459_32.jpg,레이더 없음 (7:00 - 10:20),,,,
,2020-07-04-0,20200704102748_84.jpg,20200704115959_59.jpg,안개,,,,
,2020-07-04-1,-,-,-,,,,
,2020-07-05-0,20200705070003_97.jpg,20200705080459_86.jpg,레이더 없음,,,,
,2020-07-05-0,20200705081500_82.jpg,20200705082459_37.jpg,레이더 없음,,,,
,2020-07-05-0,20200705083500_30.jpg,20200705115959_43.jpg,레이더 없음,,,,
,2020-07-05-1,20200705120102_37.jpg,20200705121659_27.jpg,레이더 없음,,,,
